what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529236081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529236401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529236402
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529240212
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544529242635
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529246310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529248210
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529248586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529248908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529249623
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544529251531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544529254208
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529254731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529351931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529583324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529587321
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529587914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529588215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529588945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529591178
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1544529592114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529592133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529592427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529592465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529601445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529630729
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529631017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529631317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529632088
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529633974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529637060
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529637466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529637772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529638527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529639875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529693284
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544529693488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529700648
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529700841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529701143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529701870
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529707555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529712127
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529712474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529712806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529713620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529717206
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1544529717434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529717762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529718566
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544529722713
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529725618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529732845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544529739932
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1544529740141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544529744383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544529744656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544529746469
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544529749320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544534027282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544534039570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544534040940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1544534532640
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1544534539747
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544534542101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544534545437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1544534545870
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1544534547313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544534556211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1544534564407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544534567209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544534572414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544534576293
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1544534580610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544534584147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1544534584471
